step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
0,1314036,0,0,4.38
1000,1314036,5,5,4.86
2000,1314036,25,25,5.08
3000,1314036,84,84,5.08
4000,1314036,117,117,5.25
5000,1314036,50,50,5.14
6000,1314036,34,34,5.19
7000,1314036,11,11,5.14
8000,1314036,5,5,5.19
9000,1314036,5,5,5.24
10000,1314036,5,5,5.22
11000,1314036,5,5,5.32
12000,1314036,5,5,5.22
13000,1314036,5,5,5.21
14000,1314036,5,5,5.27
15000,1314036,5,5,5.27
16000,1314036,5,5,4.58
17000,1314036,5,5,4.64
18000,1314036,5,5,4.73
19000,1314036,5,5,4.61
20000,1314036,5,5,4.76
21000,1314036,5,5,4.7
22000,1314036,5,5,4.85
23000,1314036,5,5,4.76
24000,1314036,5,5,4.85
25000,1314036,5,5,4.86
26000,1314036,5,5,4.8
27000,1314036,5,5,4.87
28000,1314036,5,5,4.83
29000,1314036,5,5,4.84
30000,1314036,5,5,4.89
31000,1314036,5,5,4.87
32000,1314036,5,5,4.57
33000,1314036,5,5,4.62
34000,1314036,5,5,4.64
35000,1314036,5,5,4.58
36000,1314036,5,5,4.68
37000,1314036,5,5,4.71
38000,1314036,5,5,4.77
39000,1314036,5,5,4.82
40000,1314036,5,5,4.75
41000,1314036,5,5,4.85
42000,1314036,5,5,4.79
43000,1314036,5,5,4.85
44000,1314036,5,5,4.8
45000,1314036,5,5,4.82
46000,1314036,5,5,4.9
47000,1314036,5,5,4.91
48000,1314036,5,5,4.61
49000,1314036,5,5,4.64
50000,1314036,5,5,4.59
51000,1314036,5,5,4.67
52000,1314036,5,5,4.67
53000,1314036,5,5,4.66
54000,1314036,5,5,4.66
55000,1314036,5,5,4.89
56000,1314036,5,5,4.93
57000,1314036,5,5,4.87
58000,1314036,5,5,4.79
59000,1314036,5,5,4.8
60000,1314036,5,5,4.85
61000,1314036,5,5,4.89
62000,1314036,5,5,4.88
63000,1314036,5,5,4.88
64000,1314036,5,5,4.7
65000,1314036,5,5,4.68
66000,1314036,5,5,4.69
67000,1314036,5,5,4.78
68000,1314036,5,5,4.76
69000,1314036,5,5,4.78
70000,1314036,5,5,4.76
71000,1314036,5,5,4.9
72000,1314036,5,5,4.92
73000,1314036,5,5,4.96
74000,1314036,5,5,4.9
75000,1314036,5,5,4.98
76000,1314036,5,5,4.95
77000,1314036,5,5,4.94
78000,1314036,5,5,4.97
79000,1314036,5,5,4.97
80000,1314036,5,5,4.69
81000,1314036,5,5,4.71
82000,1314036,5,5,4.69
83000,1314036,5,5,4.74
84000,1314036,5,5,4.78
85000,1314036,5,5,4.75
86000,1314036,5,5,4.75
87000,1314036,5,5,4.85
88000,1314036,5,5,4.89
89000,1314036,5,5,4.87
90000,1314036,5,5,4.91
91000,1314036,5,5,4.88
92000,1314036,5,5,4.93
93000,1314036,5,5,4.9
94000,1314036,5,5,4.95
95000,1314036,5,5,4.93
96000,1314036,5,5,4.68
97000,1314036,5,5,4.66
98000,1314036,5,5,4.72
99000,1314036,5,5,4.72
100000,1314036,5,5,4.73
101000,1314036,5,5,4.72
102000,1314036,5,5,4.72
103000,1314036,5,5,4.86
104000,1314036,5,5,4.86
105000,1314036,5,5,4.88
106000,1314036,5,5,4.95
107000,1314036,5,5,4.92
108000,1314036,5,5,4.91
109000,1314036,5,5,4.93
110000,1314036,5,5,4.92
111000,1314036,5,5,4.97
112000,1314036,5,5,4.69
113000,1314036,5,5,4.64
114000,1314036,5,5,4.66
115000,1314036,5,5,4.66
116000,1314036,5,5,4.73
117000,1314036,5,5,4.72
118000,1314036,5,5,4.79
119000,1314036,5,5,4.8
120000,1314036,5,5,4.82
121000,1314036,5,5,4.82
122000,1314036,5,5,4.81
123000,1314036,5,5,4.84
124000,1314036,5,5,4.81
125000,1314036,5,5,4.93
126000,1314036,5,5,4.83
127000,1314036,5,5,4.87
128000,1314036,5,5,4.58
129000,1314036,5,5,4.52
130000,1314036,5,5,4.48
131000,1314036,5,5,4.48
132000,1314036,5,5,4.48
133000,1314036,5,5,4.57
134000,1314036,5,5,4.56
135000,1314036,5,5,4.56
136000,1314036,5,5,4.6
137000,1314036,5,5,4.58
138000,1314036,5,5,4.63
139000,1314036,5,5,4.6
140000,1314036,5,5,4.57
141000,1314036,5,5,4.59
142000,1314036,5,5,4.57
143000,1314036,5,5,4.65
144000,1314036,5,5,4.72
145000,1314036,5,5,4.78
146000,1314036,5,5,4.74
147000,1314036,5,5,4.73
148000,1314036,5,5,4.78
149000,1314036,5,5,4.86
150000,1314036,5,5,4.85
151000,1314036,5,5,4.91
152000,1314036,5,5,4.84
153000,1314036,5,5,4.88
154000,1314036,5,5,4.87
155000,1314036,5,5,4.95
156000,1314036,5,5,4.96
157000,1314036,5,5,4.89
158000,1314036,5,5,4.95
159000,1314036,5,5,4.93
160000,1314036,5,5,4.5
161000,1314036,5,5,4.59
162000,1314036,5,5,4.56
163000,1314036,5,5,4.52
164000,1314036,5,5,4.59
165000,1314036,5,5,4.61
166000,1314036,5,5,4.64
167000,1314036,5,5,4.74
168000,1314036,5,5,4.7
169000,1314036,5,5,4.69
170000,1314036,5,5,4.68
171000,1314036,5,5,4.74
172000,1314036,5,5,4.78
173000,1314036,5,5,4.78
174000,1314036,5,5,4.76
175000,1314036,5,5,4.75
176000,1314036,5,5,4.91
177000,1314036,5,5,4.83
178000,1314036,5,5,4.84
