step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
0,1314036,0,0,4.58
1000,1314036,3,3,4.72
2000,1314036,22,22,5.07
3000,1314036,125,125,5.11
4000,1314036,276,276,5.16
5000,1314036,240,240,5.27
6000,1314036,116,116,5.2
7000,1314036,70,70,5.13
8000,1314036,40,40,5.07
9000,1314036,28,28,5.28
10000,1314036,14,14,5.11
11000,1314036,8,8,5.08
12000,1314036,7,7,5.25
13000,1314036,6,6,5.14
14000,1314036,6,6,5.16
15000,1314036,6,6,5.14
16000,1314036,6,6,4.8
17000,1314036,6,6,4.9
18000,1314036,6,6,4.83
19000,1314036,6,6,4.87
20000,1314036,6,6,4.82
21000,1314036,6,6,4.93
22000,1314036,6,6,4.88
23000,1314036,6,6,4.92
24000,1314036,6,6,4.92
25000,1314036,6,6,4.86
26000,1314036,6,6,4.91
27000,1314036,6,6,4.93
28000,1314036,6,6,4.93
29000,1314036,6,6,4.97
30000,1314036,6,6,4.95
31000,1314036,6,6,4.89
32000,1314036,6,6,4.85
33000,1314036,6,6,4.81
34000,1314036,6,6,4.84
35000,1314036,6,6,4.89
36000,1314036,6,6,4.84
37000,1314036,6,6,4.98
38000,1314036,6,6,4.99
39000,1314036,6,6,5.01
40000,1314036,6,6,4.95
41000,1314036,6,6,4.98
42000,1314036,6,6,4.97
43000,1314036,6,6,5.04
44000,1314036,6,6,5.01
45000,1314036,6,6,5.06
46000,1314036,6,6,5.0
47000,1314036,6,6,4.95
48000,1314036,6,6,4.91
49000,1314036,6,6,4.84
50000,1314036,6,6,4.85
51000,1314036,6,6,4.92
52000,1314036,6,6,4.96
53000,1314036,6,6,4.9
54000,1314036,6,6,4.96
55000,1314036,6,6,4.93
56000,1314036,6,6,4.93
57000,1314036,6,6,5.0
58000,1314036,6,6,4.98
59000,1314036,6,6,5.1
60000,1314036,6,6,4.95
61000,1314036,6,6,5.06
62000,1314036,6,6,4.98
63000,1314036,6,6,4.98
64000,1314036,6,6,4.69
65000,1314036,6,6,4.6
66000,1314036,6,6,4.63
67000,1314036,6,6,4.71
68000,1314036,6,6,4.65
69000,1314036,6,6,4.73
70000,1314036,6,6,4.69
71000,1314036,6,6,4.66
72000,1314036,6,6,4.74
73000,1314036,6,6,4.71
74000,1314036,6,6,4.8
75000,1314036,6,6,4.77
76000,1314036,6,6,4.78
77000,1314036,6,6,4.78
78000,1314036,6,6,4.69
79000,1314036,6,6,4.75
80000,1314036,6,6,4.91
81000,1314036,6,6,4.85
82000,1314036,6,6,4.84
83000,1314036,6,6,4.85
84000,1314036,6,6,4.89
85000,1314036,6,6,4.71
86000,1314036,6,6,4.77
87000,1314036,6,6,4.93
88000,1314036,6,6,4.88
89000,1314036,6,6,4.94
90000,1314036,6,6,5.02
91000,1314036,6,6,4.87
92000,1314036,6,6,4.91
93000,1314036,6,6,4.81
94000,1314036,6,6,4.94
95000,1314036,6,6,4.94
96000,1314036,6,6,4.74
97000,1314036,6,6,4.79
98000,1314036,6,6,4.78
99000,1314036,6,6,4.79
100000,1314036,6,6,4.94
101000,1314036,6,6,4.77
102000,1314036,6,6,4.82
103000,1314036,6,6,4.91
104000,1314036,6,6,4.81
105000,1314036,6,6,4.88
106000,1314036,6,6,4.91
107000,1314036,6,6,5.02
108000,1314036,6,6,4.93
109000,1314036,6,6,4.97
110000,1314036,6,6,4.95
111000,1314036,6,6,4.9
112000,1314036,6,6,4.76
113000,1314036,6,6,4.8
114000,1314036,6,6,4.78
115000,1314036,6,6,4.78
116000,1314036,6,6,4.79
117000,1314036,6,6,4.78
118000,1314036,6,6,4.88
119000,1314036,6,6,4.81
120000,1314036,6,6,4.88
121000,1314036,6,6,4.89
122000,1314036,6,6,4.91
123000,1314036,6,6,4.93
124000,1314036,6,6,4.98
125000,1314036,6,6,4.87
126000,1314036,6,6,4.96
127000,1314036,6,6,4.95
128000,1314036,6,6,4.78
129000,1314036,6,6,4.84
130000,1314036,6,6,4.79
131000,1314036,6,6,4.76
132000,1314036,6,6,4.79
133000,1314036,6,6,4.81
134000,1314036,6,6,4.87
135000,1314036,6,6,4.8
136000,1314036,6,6,4.92
137000,1314036,6,6,4.85
138000,1314036,6,6,4.85
139000,1314036,6,6,4.96
140000,1314036,6,6,4.9
141000,1314036,6,6,4.97
142000,1314036,6,6,4.93
143000,1314036,6,6,4.95
144000,1314036,6,6,4.79
145000,1314036,6,6,4.84
146000,1314036,6,6,4.8
147000,1314036,6,6,4.89
148000,1314036,6,6,4.81
149000,1314036,6,6,4.89
150000,1314036,6,6,4.93
151000,1314036,6,6,4.91
152000,1314036,6,6,4.9
153000,1314036,6,6,4.9
154000,1314036,6,6,4.83
155000,1314036,6,6,4.91
156000,1314036,6,6,4.94
157000,1314036,6,6,4.95
158000,1314036,6,6,5.0
159000,1314036,6,6,4.95
160000,1314036,6,6,4.81
161000,1314036,6,6,4.8
162000,1314036,6,6,4.82
163000,1314036,6,6,4.78
164000,1314036,6,6,4.86
165000,1314036,6,6,4.77
166000,1314036,6,6,4.84
167000,1314036,6,6,4.85
168000,1314036,6,6,4.89
169000,1314036,6,6,4.96
170000,1314036,6,6,4.88
171000,1314036,6,6,4.84
172000,1314036,6,6,4.93
173000,1314036,6,6,4.95
174000,1314036,6,6,4.91
175000,1314036,6,6,4.95
176000,1314036,6,6,4.79
177000,1314036,6,6,4.79
178000,1314036,6,6,4.8
179000,1314036,6,6,4.78
180000,1314036,6,6,4.89
181000,1314036,6,6,4.79
182000,1314036,6,6,4.88
183000,1314036,6,6,4.81
184000,1314036,6,6,4.88
185000,1314036,6,6,4.83
186000,1314036,6,6,4.92
187000,1314036,6,6,4.78
188000,1314036,6,6,4.86
189000,1314036,6,6,4.91
190000,1314036,6,6,4.89
191000,1314036,6,6,5.08
192000,1314036,6,6,4.87
193000,1314036,6,6,4.85
194000,1314036,6,6,4.9
195000,1314036,6,6,4.81
196000,1314036,6,6,5.02
197000,1314036,6,6,5.31
198000,1314036,6,6,4.95
199000,1314036,6,6,4.82
200000,1314036,6,6,5.03
201000,1314036,6,6,4.98
202000,1314036,6,6,5.03
203000,1314036,6,6,4.93
204000,1314036,6,6,4.95
205000,1314036,6,6,4.98
206000,1314036,6,6,4.9
207000,1314036,6,6,4.83
208000,1314036,6,6,4.46
209000,1314036,6,6,4.45
210000,1314036,6,6,4.46
211000,1314036,6,6,4.43
212000,1314036,6,6,4.43
