step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
0,1314036,0,0,4.47
0,1314036,10,10,4.94
5000,1314036,416,416,4.87
10000,1314036,267,267,5.02
15000,1314036,52,52,4.94
20000,1314036,15,15,4.97
25000,1314036,15,15,4.95
30000,1314036,15,15,4.93
35000,1314036,15,15,4.94
40000,1314036,15,15,4.9
45000,1314036,15,15,5.25
50000,1314036,15,15,5.15
55000,1314036,15,15,5.18
60000,1314036,15,15,5.12
65000,1314036,15,15,5.09
70000,1314036,15,15,5.05
75000,1314036,15,15,4.73
80000,1314036,15,15,5.01
85000,1314036,15,15,4.95
90000,1314036,15,15,4.63
95000,1314036,15,15,4.64
100000,1314036,15,15,4.59
