step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
0,1314036,0,0,7.78
5000,1314036,254,254,8.16
10000,1314036,651,651,8.17
15000,1314036,175,175,8.28
20000,1314036,16,16,8.17
25000,1314036,14,14,8.09
30000,1314036,14,14,8.18
35000,1314036,14,14,8.2
40000,1314036,14,14,8.52
45000,1314036,14,14,8.68
50000,1314036,14,14,8.66
55000,1314036,14,14,8.61
60000,1314036,14,14,8.71
65000,1314036,14,14,9.35
70000,1314036,14,14,8.78
75000,1314036,14,14,9.4
80000,1314036,14,14,6.68
85000,1314036,14,14,6.31
90000,1314036,14,14,6.25
95000,1314036,14,14,6.28
100000,1314036,14,14,6.23
