# bin_centre count
0.01390288 145597
0.03196660 447989
0.05003032 244758
0.06809405 98815
0.08615777 37957
0.10422150 15826
0.12228522 7856
0.14034895 4445
0.15841267 2770
0.17647639 1914
0.19454012 1429
0.21260384 1054
0.23066757 886
0.24873129 801
0.26679502 751
0.28485874 775
0.30292246 1129
0.32098619 1662
0.33904991 1971
0.35711364 1395
0.37517736 954
0.39324108 718
0.41130481 429
0.42936853 359
0.44743226 255
0.46549598 231
0.48355971 185
0.50162343 178
0.51968715 156
0.53775088 147
0.55581460 128
0.57387833 107
0.59194205 85
0.61000578 56
0.62806950 48
0.64613322 44
0.66419695 41
0.68226067 28
0.70032440 17
0.71838812 13
0.73645185 13
0.75451557 8
0.77257929 6
0.79064302 5
0.80870674 2
0.82677047 2
0.84483419 1
0.86289792 1
0.88096164 2
0.89902536 1
