# bin_centre count
0.04228156 169
0.05778106 566
0.07328057 652
0.08878007 927
0.10427957 2745
0.11977907 11310
0.13527857 1274
0.15077808 1702
0.16627758 2434
0.18177708 732
0.19727658 952
0.21277609 434
0.22827559 331
0.24377509 327
0.25927459 411
0.27477409 497
0.29027360 381
0.30577310 333
0.32127260 221
0.33677210 128
0.35227160 114
0.36777111 208
0.38327061 318
0.39877011 239
0.41426961 285
0.42976911 268
0.44526862 192
0.46076812 145
0.47626762 114
0.49176712 150
0.50726662 92
0.52276613 89
0.53826563 58
0.55376513 148
0.56926463 221
0.58476413 104
0.60026364 95
0.61576314 141
0.63126264 105
0.64676214 82
0.66226164 46
0.67776115 64
0.69326065 68
0.70876015 60
0.72425965 70
0.73975916 66
0.75525866 77
0.77075816 73
0.78625766 54
0.80175716 53
0.81725667 64
0.83275617 57
0.84825567 56
0.86375517 44
0.87925467 40
0.89475418 44
0.91025368 32
0.92575318 21
0.94125268 25
0.95675218 18
0.97225169 21
0.98775119 21
1.00325069 20
1.01875019 20
1.03424969 14
1.04974920 15
1.06524870 13
1.08074820 13
1.09624770 11
1.11174720 7
1.12724671 13
1.14274621 8
1.15824571 8
1.17374521 1
1.18924471 4
1.20474422 2
1.22024372 2
1.23574322 1
1.25124272 0
1.26674222 1
