# id type x y z dist_to_ref defect_prob defect_type
1 1 3.10356000 -25.09190000 -12.71090000 0.73668165 0.99999985 Unknown
2 1 4.27878000 0.74454500 -34.84550000 0.10654549 0.27967723 Lattice
3 1 28.74000000 2.13805000 -7.56454000 0.12193415 0.34927193 Lattice
4 1 31.20510000 6.11069000 -8.61069000 0.11172805 0.30284432 Lattice
5 1 32.32170000 -0.33557000 3.47868000 0.11554678 0.32011233 Lattice
6 1 26.46010000 2.21949000 -14.65110000 0.11552664 0.32002089 Lattice
7 1 28.12760000 -1.21764000 7.99900000 0.11307949 0.30893840 Lattice
8 1 11.51000000 28.52880000 -0.67617300 0.11362626 0.31140947 Lattice
9 1 29.08880000 13.54660000 7.25299000 0.12618059 0.36878656 Lattice
10 1 30.50390000 -5.19584000 -13.20470000 0.12160972 0.34778441 Lattice
11 1 26.70000000 -15.12050000 3.08918000 0.12146342 0.34711379 Lattice
12 1 20.13890000 21.55580000 -11.17340000 0.11278387 0.30760368 Lattice
13 1 5.02308000 -24.74050000 -22.44720000 0.76056433 0.99999995 Unknown
14 1 27.64590000 3.89820000 4.40625000 0.11488170 0.31709458 Lattice
15 1 30.47200000 -0.95604500 -11.05970000 0.11742880 0.32867288 Lattice
16 1 13.33300000 17.30160000 -21.46300000 0.11926245 0.33704028 Lattice
17 1 21.10970000 23.86370000 -7.98676000 0.11295588 0.30838022 Lattice
18 1 22.84170000 7.88486000 18.38400000 0.11746464 0.32883617 Lattice
19 1 18.77970000 -17.31570000 -21.38110000 0.07026173 0.13295493 Lattice
20 1 26.48830000 10.07730000 5.40563000 0.11229447 0.30539607 Lattice
21 1 21.98480000 -10.68090000 -22.16510000 0.10038014 0.25262478 Lattice
22 1 15.94910000 20.86470000 -19.68380000 0.11651278 0.32450254 Lattice
23 1 32.75540000 -5.47180000 7.02887000 0.10823679 0.28719945 Lattice
24 1 7.01746000 -29.49100000 16.65550000 0.76384813 0.99999995 Unknown
25 1 24.00180000 -14.24020000 -9.65708000 0.11777982 0.33027274 Lattice
26 1 16.65850000 -0.79178800 -27.35020000 0.12021224 0.34138362 Lattice
27 1 28.95520000 -15.14150000 10.12420000 0.11767639 0.32980122 Lattice
28 1 16.45800000 15.11090000 22.83630000 0.11555419 0.32014600 Lattice
29 1 22.80720000 -16.09330000 -15.60920000 0.13027821 0.38766759 Lattice
30 1 10.39670000 -30.53040000 8.41098000 0.46132437 0.99786698 Unknown
31 1 21.35880000 -10.38400000 24.44320000 0.12007117 0.34073812 Lattice
32 1 23.66350000 -6.05661000 20.57880000 0.11707879 0.32707860 Lattice
33 1 -2.20266000 24.01590000 19.83100000 0.11699833 0.32671223 Lattice
34 1 0.41695600 -34.74600000 4.79183000 0.38082122 0.98486919 Unknown
35 1 0.08678200 -30.07180000 -9.25437000 0.59862233 0.99996819 Unknown
36 1 27.00840000 -7.14658000 -13.20170000 0.10961767 0.29336941 Lattice
37 1 12.83550000 18.07610000 -27.18770000 0.10276020 0.26299456 Lattice
38 1 16.19760000 20.42430000 -16.84540000 0.12100523 0.34501429 Lattice
39 1 30.74800000 10.33220000 16.88670000 0.08510595 0.18885923 Lattice
40 1 31.51430000 -11.49150000 -1.07919000 0.12043120 0.34238574 Lattice
41 1 32.05670000 -4.08342000 -1.45226000 0.11951407 0.33819036 Lattice
42 1 27.13060000 -15.99230000 8.73091000 0.10669553 0.28034294 Lattice
43 1 10.66290000 5.73922000 -30.15220000 0.12415182 0.35945412 Lattice
44 1 -23.06610000 -4.99174000 24.08870000 0.12961047 0.38458900 Lattice
45 1 34.50070000 3.81692000 12.67420000 0.11150568 0.30184350 Lattice
