# id type pc1 pc2 dist_to_ref defect_type
1 1 -0.00896953 -0.01416347 0.01701591 Lattice
2 1 0.00064325 0.00022517 0.00561591 Lattice
3 1 0.00644556 0.00843813 0.01233602 Lattice
4 1 -0.01435510 -0.02276667 0.02728211 Lattice
5 1 -0.01673508 -0.02725720 0.03254334 Lattice
6 1 -0.01308588 -0.02169534 0.02613453 Lattice
7 1 -0.00669210 -0.01466687 0.01996871 Lattice
8 1 0.00220128 0.00044536 0.00779852 Lattice
9 1 0.01051939 0.01443315 0.01870442 Lattice
10 1 0.01400623 0.01927922 0.02490989 Lattice
11 1 0.00322409 0.00399221 0.00602804 Lattice
12 1 0.00687125 0.00832170 0.01345617 Lattice
13 1 0.00598460 0.00726133 0.01055591 Lattice
14 1 0.00765747 0.01048087 0.01393370 Lattice
15 1 -0.00400807 -0.00667300 0.00842398 Lattice
16 1 -0.00297697 -0.00481297 0.00913146 Lattice
17 1 0.00903215 0.01133122 0.01636264 Lattice
18 1 -0.00204704 -0.00468198 0.00735549 Lattice
19 1 0.01205013 0.01733256 0.02272226 Lattice
20 1 0.00093509 -0.00062414 0.00761055 Lattice
21 1 -0.00512249 -0.00762778 0.01054998 Lattice
22 1 0.00582974 0.00816517 0.01162784 Lattice
23 1 0.01348566 0.01921266 0.02493190 Lattice
24 1 0.00079229 -0.00108381 0.00539079 Lattice
25 1 -0.00668321 -0.01107896 0.01353522 Lattice
26 1 0.00619935 0.00930262 0.01215278 Lattice
27 1 -0.00357238 -0.00680793 0.00881217 Lattice
28 1 -0.00419426 -0.00873058 0.01131203 Lattice
29 1 0.01279726 0.01743892 0.02527977 Lattice
30 1 0.00924458 0.01217081 0.01638695 Lattice
31 1 -0.01605792 -0.02643936 0.03153975 Lattice
32 1 -0.00588997 -0.00953912 0.01206445 Lattice
33 1 -0.01336349 -0.02333208 0.02797905 Lattice
34 1 -0.01548674 -0.02445942 0.02941018 Lattice
35 1 -0.00601492 -0.01081191 0.01355752 Lattice
36 1 -0.01139500 -0.01807033 0.02172988 Lattice
37 1 0.01427236 0.01986711 0.02598292 Lattice
38 1 -0.00726576 -0.01209867 0.01498526 Lattice
39 1 -0.00165016 -0.00467979 0.00792074 Lattice
40 1 -0.00562677 -0.00882796 0.01122778 Lattice
41 1 0.00357282 0.00408909 0.00691798 Lattice
42 1 -0.00138664 -0.00361643 0.00706675 Lattice
43 1 0.00474773 0.00762618 0.01139931 Lattice
44 1 0.00305685 0.00384889 0.00588111 Lattice
45 1 0.00932067 0.01358312 0.01682531 Lattice
46 1 -0.00432786 -0.00777469 0.00954874 Lattice
47 1 -0.00597006 -0.01056394 0.01265310 Lattice
48 1 0.01053777 0.01510022 0.01911631 Lattice
49 1 0.00998937 0.01383809 0.01856364 Lattice
50 1 0.01714607 0.02556895 0.03178604 Lattice
51 1 0.00639688 0.00764767 0.01129925 Lattice
52 1 0.01601770 0.02465743 0.03037480 Lattice
53 1 -0.00454246 -0.00832875 0.01051720 Lattice
54 1 -0.00905961 -0.01805876 0.02283399 Lattice
55 1 0.00524297 0.00645439 0.01057172 Lattice
56 1 0.01502676 0.02253268 0.02841919 Lattice
57 1 -0.01685529 -0.02733677 0.03283183 Lattice
58 1 -0.00818012 -0.01317121 0.01644230 Lattice
59 1 0.00978043 0.01406371 0.01812576 Lattice
60 1 0.01488914 0.02189530 0.02724354 Lattice
61 1 0.00294943 0.00179436 0.00856995 Lattice
62 1 -0.01688947 -0.02872640 0.03489102 Lattice
63 1 -0.01168690 -0.02138526 0.02688455 Lattice
64 1 0.03183795 0.04729153 0.05925192 Lattice
65 1 -0.00537550 -0.01172878 0.01592809 Lattice
66 1 0.00768760 0.00916039 0.01589402 Lattice
67 1 0.00471377 0.00528366 0.00842441 Lattice
68 1 -0.01343794 -0.02097817 0.02559874 Lattice
69 1 0.00264891 0.00255203 0.00940663 Lattice
70 1 -0.01601574 -0.02831919 0.03428145 Lattice
71 1 -0.01452064 -0.02429155 0.02904871 Lattice
72 1 0.00411948 0.00418381 0.00962452 Lattice
73 1 0.00237494 0.00269477 0.00696654 Lattice
74 1 0.01026272 0.01460682 0.01884890 Lattice
75 1 0.00591963 0.00749934 0.01095285 Lattice
76 1 0.00597846 0.00773207 0.01216432 Lattice
77 1 0.00156581 0.00243619 0.00663067 Lattice
78 1 0.01109139 0.01523921 0.01948724 Lattice
79 1 0.01176939 0.01651040 0.02201682 Lattice
80 1 -0.00183316 -0.00465063 0.00684453 Lattice
81 1 0.01618978 0.02251850 0.02911887 Lattice
82 1 -0.00113886 -0.00264280 0.00534408 Lattice
83 1 -0.00466431 -0.00778381 0.00938295 Lattice
84 1 0.00012890 -0.00035338 0.00279712 Lattice
85 1 0.00908651 0.01191870 0.01620918 Lattice
86 1 -0.00585167 -0.01108878 0.01504378 Lattice
87 1 -0.00147546 -0.00329338 0.00540355 Lattice
88 1 -0.00532689 -0.01056355 0.01396782 Lattice
89 1 -0.01925407 -0.03065066 0.03669393 Lattice
90 1 -0.01888978 -0.03015891 0.03606964 Lattice
91 1 0.00474490 0.00560203 0.01049223 Lattice
92 1 -0.02519001 -0.04030969 0.04827920 Lattice
93 1 -0.01550355 -0.02379555 0.02876279 Lattice
