# id type pc1 pc2 pc3 dist_to_ref defect_type
1 1 0.42038934 -0.33485689 0.08851549 0.73668165 Unknown
2 1 -0.09856519 -0.03619209 0.01557718 0.10654549 Lattice
3 1 -0.10911375 -0.05157077 0.01590993 0.12193415 Lattice
4 1 -0.09738195 -0.03423432 -0.00657501 0.11172805 Lattice
5 1 -0.10367618 -0.04909971 0.01032421 0.11554678 Lattice
6 1 -0.10600488 -0.04072738 0.00348673 0.11552664 Lattice
7 1 -0.10459974 -0.03798343 0.00195760 0.11307949 Lattice
8 1 -0.10127144 -0.03809232 0.01712696 0.11362626 Lattice
9 1 -0.10138795 -0.06843468 0.02547403 0.12618059 Lattice
10 1 -0.10849997 -0.05017469 0.01314447 0.12160972 Lattice
11 1 -0.10823726 -0.05180641 0.01818043 0.12146342 Lattice
12 1 -0.10351360 -0.04223242 0.01246076 0.11278387 Lattice
13 1 0.50544353 -0.30283559 0.10022662 0.76056433 Unknown
14 1 -0.10569117 -0.04147860 0.00547686 0.11488170 Lattice
15 1 -0.10577398 -0.04689642 0.00666828 0.11742880 Lattice
16 1 -0.10720778 -0.04780622 0.01908562 0.11926245 Lattice
17 1 -0.10388067 -0.04207306 0.01163624 0.11295588 Lattice
18 1 -0.10614739 -0.04622956 0.01683093 0.11746464 Lattice
19 1 -0.04127978 -0.02511197 -0.03020981 0.07026173 Lattice
20 1 -0.10392797 -0.03930037 0.00388147 0.11229447 Lattice
21 1 -0.08747706 -0.02471448 -0.00590593 0.10038014 Lattice
22 1 -0.10657880 -0.04456875 0.01446715 0.11651278 Lattice
23 1 -0.09833121 -0.03825377 -0.00213013 0.10823679 Lattice
24 1 0.47001439 -0.25450883 0.11050746 0.76384813 Unknown
25 1 -0.10715333 -0.04684153 0.01170398 0.11777982 Lattice
26 1 -0.09561595 -0.06639137 0.02335501 0.12021224 Lattice
27 1 -0.08731463 -0.07284972 0.02113154 0.11767639 Lattice
28 1 -0.10574873 -0.04467551 0.01198335 0.11555419 Lattice
29 1 -0.10542127 -0.06948231 0.02583726 0.13027821 Lattice
30 1 0.26017432 -0.19759322 0.01303838 0.46132437 Unknown
31 1 -0.10007542 -0.06204276 0.02020158 0.12007117 Lattice
32 1 -0.10542144 -0.04788279 0.01625628 0.11707879 Lattice
33 1 -0.10704256 -0.04424483 0.00884044 0.11699833 Lattice
34 1 0.14498754 -0.23381764 0.01960204 0.38082122 Unknown
35 1 0.44003593 -0.16191466 -0.12603142 0.59862233 Unknown
36 1 -0.10290093 -0.03580010 0.00655370 0.10961767 Lattice
37 1 -0.09272831 -0.03840035 0.01464558 0.10276020 Lattice
38 1 -0.10835653 -0.05028238 0.01856205 0.12100523 Lattice
