# ref_id x y z occupancy n_extra
107838 -76.72676957 -14.32875646 12.45135977 2 1
107840 -73.21400069 -14.28114846 12.44023827 2 1
108354 -76.70500297 -15.99381294 14.22928595 2 1
108357 -75.05964101 -17.97362248 14.30210391 2 1
108360 -74.94870101 -15.99752757 16.01665674 2 1
108836 -78.45525953 -19.67920160 19.65352872 2 1
108917 -75.01090791 -17.84744648 17.78088215 2 1
120912 -82.02184629 9.01235837 -48.19897534 2 1
120913 -78.50443577 7.15325133 -50.01921067 2 1
120914 -76.73400205 8.86754698 -49.88396940 2 1
120918 -73.19055282 8.89546149 -50.10347473 2 1
120991 -80.44182453 10.84345118 -48.18820340 2 1
121506 -83.97018205 8.82859657 -46.41871006 2 1
121507 -83.84328716 7.18248457 -44.67430412 2 1
121510 -80.41618935 8.87853217 -46.32617802 2 1
121511 -80.35717383 7.17598590 -44.57370404 2 1
121512 -82.10493031 8.97323201 -44.54300064 2 1
121513 -78.57084936 7.20109241 -46.42932284 2 1
121514 -76.81387450 8.94637678 -46.42637684 2 1
121518 -73.32845560 9.02591336 -46.40213220 2 1
121519 -73.09554733 7.15429526 -44.71020130 2 1
121520 -75.05158045 8.90952941 -44.61228844 2 1
121597 -74.98380283 10.71134227 -46.46715768 2 1
122032 -82.06529953 5.37046034 -41.08631020 2 1
122036 -78.52318757 5.35359526 -40.97785761 2 1
122040 -74.93965792 5.33197894 -40.97439307 2 1
122107 -83.87435740 7.19549684 -41.09306162 2 1
122109 -82.10781751 7.18934448 -42.85639503 2 1
122111 -80.37720192 7.16153433 -41.06619333 2 1
122114 -76.77611184 8.89558011 -42.85064569 2 1
122115 -76.70211338 7.05499078 -40.95162762 2 1
122116 -78.52568627 8.75275742 -41.08019307 2 1
122119 -73.22376919 7.05995581 -40.89997919 2 1
122120 -74.99949078 8.84632029 -41.06166598 2 1
122711 -80.40642592 7.00315650 -37.39816669 2 1
122715 -76.70443173 7.11105580 -37.48535086 2 1
122719 -73.11788145 7.07889449 -37.43050494 2 1
122720 -75.04940588 8.90437551 -37.59355308 2 1
123234 -76.77919205 5.20482846 -35.68369202 2 1
123240 -74.96317271 5.32934328 -33.96963750 2 1
123316 -78.49736491 8.89581866 -33.99702498 2 1
123320 -74.96875834 8.88540847 -34.08491417 2 1
123836 -78.53394881 5.40133566 -30.24149032 2 1
123838 -73.25589024 5.44949952 -32.20187642 2 1
123915 -76.67544376 7.21593579 -30.34447615 2 1
123918 -73.07702920 8.92704674 -32.26386880 2 1
124430 -80.42499747 5.34307759 -28.68462810 2 1
124438 -73.20298618 5.37838739 -28.51956013 2 1
124440 -75.02106438 5.35319287 -26.76511384 2 1
124515 -76.77588538 7.00961203 -26.81256576 2 1
124520 -74.96651918 8.76681351 -26.79239895 2 1
125119 -73.21992057 7.16344198 -23.05535953 2 1
127360 -74.94601881 1.70647401 -8.76484024 2 1
127955 -76.74369315 -0.05335334 -5.27875061 2 1
127960 -74.85756036 1.84356300 -5.34283079 2 1
128037 -74.84244794 3.52195967 -7.13721022 2 1
