# bin_centre count
0.00938694 18709
0.01841881 126888
0.02745067 226670
0.03648253 221319
0.04551439 148017
0.05454626 96741
0.06357812 60904
0.07260998 37911
0.08164184 23274
0.09067370 14683
0.09970557 9456
0.10873743 6370
0.11776929 4518
0.12680115 3338
0.13583301 2532
0.14486488 1913
0.15389674 1541
0.16292860 1229
0.17196046 993
0.18099232 921
0.19002419 774
0.19905605 655
0.20808791 568
0.21711977 486
0.22615164 452
0.23518350 434
0.24421536 380
0.25324722 421
0.26227908 366
0.27131095 385
0.28034281 358
0.28937467 417
0.29840653 471
0.30743839 658
0.31647026 763
0.32550212 899
0.33453398 1020
0.34356584 951
0.35259771 734
0.36162957 661
0.37066143 522
0.37969329 432
0.38872515 390
0.39775702 328
0.40678888 244
0.41582074 185
0.42485260 193
0.43388446 166
0.44291633 141
0.45194819 114
0.46098005 120
0.47001191 111
0.47904378 105
0.48807564 80
0.49710750 95
0.50613936 83
0.51517122 83
0.52420309 73
0.53323495 79
0.54226681 68
0.55129867 69
0.56033053 59
0.56936240 58
0.57839426 49
0.58742612 44
0.59645798 41
0.60548984 32
0.61452171 24
0.62355357 30
0.63258543 18
0.64161729 19
0.65064916 25
0.65968102 19
0.66871288 22
0.67774474 11
0.68677660 17
0.69580847 8
0.70484033 9
0.71387219 6
0.72290405 7
0.73193591 9
0.74096778 4
0.74999964 5
0.75903150 3
0.76806336 6
0.77709523 0
0.78612709 3
0.79515895 2
0.80419081 1
0.81322267 1
0.82225454 0
0.83128640 2
0.84031826 0
0.84935012 1
0.85838198 0
0.86741385 1
0.87644571 2
0.88547757 0
0.89450943 0
0.90354130 1
