# id type x y z dist_to_ref defect_prob defect_type
1 1 -0.00935441 0.07294530 0.00021956 0.01701591 1.00000000 Lattice
2 1 1.76553000 1.81432000 42.34990000 0.00561591 1.00000000 Lattice
3 1 1.77174000 0.07231390 1.68758000 0.01233602 1.00000000 Lattice
4 1 42.39380000 1.84570000 1.65421000 0.02728211 1.00000000 Lattice
5 1 3.52878000 0.06709750 0.02148560 0.03254334 1.00000000 Lattice
6 1 5.32456000 1.83735000 0.03667490 0.02613453 1.00000000 Lattice
7 1 5.22973000 42.31890000 1.72309000 0.01996871 1.00000000 Lattice
8 1 3.54329000 1.81971000 1.66320000 0.00779852 1.00000000 Lattice
9 1 7.11190000 42.38320000 0.02383950 0.01870442 1.00000000 Lattice
10 1 8.85191000 1.67594000 0.00367436 0.02490989 1.00000000 Lattice
11 1 8.86044000 42.32060000 1.71693000 0.00602804 1.00000000 Lattice
12 1 6.97838000 1.67113000 1.76346000 0.01345617 1.00000000 Lattice
13 1 10.69590000 42.34000000 42.42260000 0.01055591 1.00000000 Lattice
14 1 12.32090000 1.72124000 0.04796380 0.01393370 1.00000000 Lattice
15 1 12.31250000 0.03107700 1.78777000 0.00842398 1.00000000 Lattice
16 1 10.53700000 1.77512000 1.75238000 0.00913146 1.00000000 Lattice
17 1 14.11360000 42.33630000 0.02435140 0.01636264 1.00000000 Lattice
18 1 15.96000000 1.69096000 0.04788440 0.00735549 1.00000000 Lattice
19 1 15.97150000 0.06396180 1.80020000 0.02272226 1.00000000 Lattice
20 1 14.07520000 1.76140000 1.90992000 0.00761055 1.00000000 Lattice
21 1 17.67060000 42.37880000 42.37480000 0.01054998 1.00000000 Lattice
22 1 19.44740000 1.83020000 -0.01187050 0.01162784 1.00000000 Lattice
23 1 19.44610000 0.02597180 1.79242000 0.02493190 1.00000000 Lattice
24 1 17.73830000 1.77556000 1.74076000 0.00539079 1.00000000 Lattice
25 1 21.25500000 0.00337632 -0.00884814 0.01353522 1.00000000 Lattice
26 1 23.03350000 1.73079000 42.35000000 0.01215278 1.00000000 Lattice
27 1 22.94500000 0.11103900 1.83638000 0.00881217 1.00000000 Lattice
28 1 21.21870000 1.77894000 1.66364000 0.01131203 1.00000000 Lattice
29 1 24.75970000 42.31990000 0.06497390 0.02527977 1.00000000 Lattice
30 1 26.54360000 1.77585000 0.06061040 0.01638695 1.00000000 Lattice
31 1 26.46890000 0.01714220 1.74199000 0.03153975 1.00000000 Lattice
32 1 24.70660000 1.79265000 1.81876000 0.01206445 1.00000000 Lattice
33 1 28.25930000 -0.00021568 0.11695400 0.02797905 1.00000000 Lattice
34 1 29.94950000 1.80413000 0.07507340 0.02941018 1.00000000 Lattice
35 1 29.92570000 0.00690855 1.78712000 0.01355752 1.00000000 Lattice
36 1 28.23980000 1.75744000 1.77393000 0.02172988 1.00000000 Lattice
37 1 31.74000000 0.01707350 0.09750880 0.02598292 1.00000000 Lattice
38 1 33.50780000 1.69276000 -0.01793300 0.01498526 1.00000000 Lattice
39 1 33.54480000 0.10534300 1.82167000 0.00792074 1.00000000 Lattice
40 1 31.75670000 1.73955000 1.75227000 0.01122778 1.00000000 Lattice
41 1 35.30870000 0.05478260 0.00069630 0.00691798 1.00000000 Lattice
42 1 37.08680000 1.83649000 42.34220000 0.00706675 1.00000000 Lattice
43 1 37.11210000 0.00890835 1.74942000 0.01139931 1.00000000 Lattice
44 1 35.32580000 1.77567000 1.72629000 0.00588111 1.00000000 Lattice
45 1 38.83880000 0.01463980 42.40540000 0.01682531 1.00000000 Lattice
46 1 40.59260000 1.73410000 0.00140931 0.00954874 1.00000000 Lattice
47 1 40.72620000 0.04920610 1.76490000 0.01265310 1.00000000 Lattice
48 1 38.85180000 1.79799000 1.69676000 0.01911631 1.00000000 Lattice
49 1 42.36790000 3.52003000 42.34590000 0.01856364 1.00000000 Lattice
50 1 1.79652000 5.28568000 42.34800000 0.03178604 1.00000000 Lattice
51 1 1.85282000 3.55287000 1.78877000 0.01129925 1.00000000 Lattice
52 1 42.33350000 5.26421000 1.69536000 0.03037480 1.00000000 Lattice
53 1 3.55456000 3.66310000 42.40880000 0.01051720 1.00000000 Lattice
54 1 5.33870000 5.30770000 42.32820000 0.02283399 1.00000000 Lattice
55 1 5.29792000 3.48497000 1.83571000 0.01057172 1.00000000 Lattice
56 1 3.60463000 5.34486000 1.81738000 0.02841919 1.00000000 Lattice
57 1 6.99475000 3.60739000 42.42880000 0.03283183 1.00000000 Lattice
58 1 8.77841000 5.29517000 0.01688680 0.01644230 1.00000000 Lattice
59 1 8.73324000 3.49833000 1.66134000 0.01812576 1.00000000 Lattice
60 1 7.06346000 5.32131000 1.77266000 0.02724354 1.00000000 Lattice
61 1 10.68280000 3.57245000 0.02260590 0.00856995 1.00000000 Lattice
