# x y z d_near_max n_grid_pts
4.49431816 -2.49696819 -27.96513269 2.50469968 11
-16.47916660 4.49454274 22.97135900 2.39965245 1
5.49305553 -10.48726639 -33.95766113 2.38555468 7
-30.46148977 11.48605366 0.99875474 2.35924626 2
5.49305553 -1.49818091 -15.98007583 2.35317665 4
-6.49179290 -7.49090456 44.94396326 2.34582370 1
-11.48547975 51.43754466 54.93151065 2.34341334 1
-2.49684342 69.41571561 -32.95890639 2.32747659 1
-6.49179290 18.47756459 33.95766113 2.32419835 2
-7.49053027 3.49575546 -15.98007583 2.31445873 2
5.49305553 0.49939364 -13.98256635 2.30322738 4
-7.49053027 -57.43026831 -42.94645378 2.29972491 1
2.49684342 -14.48241549 -3.99501896 2.29919272 1
-2.49684342 39.45209736 29.96264217 2.28888355 1
-37.45265136 10.48726639 22.97135900 2.28789467 1
3.49558079 -48.44118284 40.94894430 2.28344450 1
-13.48295449 -13.48362821 31.96015165 2.28106944 1
7.49053027 7.49090456 15.98007583 2.27716346 2
29.46275240 -19.47635186 67.91532226 2.27111380 2
8.48926764 -21.47392641 -1.99750948 2.26874600 2
7.49053027 -3.49575546 -26.96637795 2.26582114 4
-26.46654029 24.47028824 15.98007583 2.26440030 2
-5.49305553 -59.42784286 49.93773695 2.26111869 1
8.48926764 -66.41935379 63.92030330 2.25810153 1
7.49053027 -5.49333001 -28.96388743 2.25227529 1
-30.46148977 13.48362821 -0.99875474 2.24890025 1
7.49053027 3.49575546 19.97509478 2.24479181 1
51.43497453 -6.49211729 -60.92403908 2.24372305 1
23.47032819 2.49696819 -52.93400117 2.24345046 1
9.48800501 0.49939364 -39.95018956 2.24226887 1
-44.44381295 8.48969184 -67.91532226 2.23785257 1
5.49305553 62.42420469 54.93151065 2.23532052 1
13.48295449 -17.47877731 0.00000000 2.23219218 1
-20.47411608 22.47271369 -2.99626422 2.23007999 2
16.47916660 -3.49575546 -6.99128317 2.22154155 1
57.42739875 -9.48847911 -33.95766113 2.21874844 1
-49.43749979 12.48484094 -18.97634004 2.21752225 1
3.49558079 0.49939364 -15.98007583 2.21745475 2
-5.49305553 -11.48605366 -49.93773695 2.21699066 1
-62.42108560 -2.49696819 -21.97260426 2.21517228 1
-19.47537871 -4.49454274 31.96015165 2.21516834 1
-12.48421712 -6.49211729 22.97135900 2.21400786 1
5.49305553 1.49818091 -15.98007583 2.21306472 2
-1.49810605 -18.47756459 -63.92030330 2.21154168 1
-0.49936868 -54.43390649 -24.96886848 2.20707957 1
9.48800501 7.49090456 2.99626422 2.19442919 1
36.45391399 -5.49333001 31.96015165 2.19101366 1
-26.46654029 -19.47635186 60.92403908 2.18966111 2
-2.49684342 64.42177924 -62.92154856 2.18578503 1
-1.49810605 3.49575546 -24.96886848 2.18485392 2
-28.46401503 19.47635186 22.97135900 2.18403166 1
6.49179290 -24.47028824 -63.92030330 2.18046350 2
26.46654029 22.47271369 39.95018956 2.17964729 1
15.48042923 -21.47392641 15.98007583 2.17557539 2
6.49179290 42.44845919 -64.91905804 2.17369761 1
-18.47664134 11.48605366 -17.97758530 2.17295356 1
-64.41856034 -4.49454274 -10.98630213 2.17245558 1
7.49053027 2.49696819 68.91407700 2.16817641 5
-15.48042923 -15.48120276 -21.97260426 2.16600740 2
