# x y z d_near_max n_grid_pts
4.74400251 -2.24727137 -27.71544401 2.78421354 53
5.24337119 -11.23635684 -33.20859507 2.51487116 13
5.24337119 0.24969682 -14.73163240 2.45375271 27
-30.71117411 13.23393139 -0.74906605 2.43798133 3
-6.74147724 -7.74060138 44.69427457 2.42932593 1
27.71496201 -14.23271867 57.17870881 2.41990776 3
-5.24337119 24.71998506 54.68182196 2.39872022 1
7.24084593 -3.24605864 -27.21606664 2.39733545 6
-5.24337119 -18.72726141 -57.17870881 2.39729593 1
-13.73263883 20.72483596 21.22353821 2.39361542 2
7.74021461 3.24605864 70.16252042 2.39289904 12
-22.72127516 -8.73938866 -60.67435040 2.39010255 1
-5.74273988 20.22544232 -19.22602873 2.38535619 2
8.23958330 -17.72847413 44.69427457 2.38103428 2
-33.70738622 -3.74545228 -62.67185988 2.37761568 1
51.18529019 -6.24242047 -60.67435040 2.37290107 1
-7.24084593 3.74545228 -15.73038714 2.37102785 3
16.72885094 -3.24605864 -7.24097186 2.36539849 1
-6.24210856 62.17450787 -54.18244459 2.36360810 1
10.73642672 6.24242047 -32.20984034 2.36133080 3
27.71496201 -19.72604868 44.69427457 2.35773219 1
24.21938121 -23.22180414 44.69427457 2.35439323 3
-7.24084593 -44.69573056 -66.16750146 2.34921715 2
-10.73642672 -50.18906057 -50.18742564 2.34793042 1
-1.74779040 3.74545228 -25.21855716 2.34627683 3
-19.22569436 -31.71149598 -69.66314305 2.34509774 2
9.23832067 0.74909046 -39.70050088 2.34492043 3
5.24337119 -64.67147606 26.71668927 2.34423731 1
5.24337119 33.70907053 -54.18244459 2.34381224 2
17.72758831 -33.70907053 -19.72540610 2.34067428 1
7.24084593 3.74545228 19.72540610 2.33949209 2
-22.72127516 -33.70907053 67.66563357 2.33809931 2
-1.74779040 7.24120774 -17.72789662 2.33542137 2
26.21685595 -16.23029322 57.17870881 2.33415954 3
-20.22443173 -8.23999502 67.66563357 2.33182191 2
15.23074489 -26.71755961 -28.71419875 2.33064890 1
2.24715908 0.24969682 -28.71419875 2.32921351 2
-0.74905303 -54.18420967 -25.21855716 2.32777363 3
-5.74273988 -59.17814604 49.68804827 2.32734627 2
5.74273988 2.24727137 -15.73038714 2.32530677 3
5.24337119 24.71998506 1.24844342 2.32524389 1
10.73642672 4.24484592 -34.20734981 2.32519309 1
17.72758831 -14.73211231 -41.69801036 2.32464776 2
37.20296702 10.23756957 37.70299140 2.32315955 1
-15.73011357 -4.24484592 -21.72291557 2.32262575 2
-11.73516409 51.18784784 55.18119933 2.32131232 1
7.74021461 7.24120774 16.22976451 2.31773742 1
2.24715908 6.74181411 46.69178405 2.31672526 2
-7.74021461 -57.67996513 -43.19614246 2.31234085 2
3.24589645 -41.19997509 44.69427457 2.30786623 1
-15.23074489 8.23999502 -68.16501094 2.30771384 2
28.71369938 19.22665504 -12.73412292 2.30727772 3
-2.74652777 64.17208242 -63.17123725 2.29932525 1
27.71496201 -17.72847413 68.16501094 2.29904618 2
-2.24715908 -52.18663512 -46.69178405 2.29827734 3
8.73895198 4.24484592 -21.22353821 2.29677303 1
-6.74147724 18.72726141 34.20734981 2.29633965 1
-63.66950731 0.74909046 69.66314305 2.29574560 1
2.24715908 26.71755961 38.20236877 2.29567716 2
23.22064384 2.74666501 -52.68431249 2.29551650 3
47.19034071 4.24484592 53.68306723 2.29544216 2
